tic;date;year;month;cusip;prc;shrout;ret;retx;n
BA;2009-06-30;2009;6;9702310;42.5;726198;-0.052397;-0.052397;120
BA;2009-07-31;2009;7;9702310;42.91;726432;0.009647;0.009647;120
BA;2009-08-31;2009;8;9702310;49.67;726432;0.167327;0.157539;120
BA;2009-09-30;2009;9;9702310;54.15;726432;0.090195;0.090195;120
BA;2009-10-30;2009;10;9702310;47.8;726599;-0.117267;-0.117267;120
BA;2009-11-30;2009;11;9702310;52.41;726599;0.105230;0.096444;120
BA;2009-12-31;2009;12;9702310;54.13;726599;0.032818;0.032818;120
BA;2010-01-29;2010;1;9702310;60.6;726599;0.119527;0.119527;120
BA;2010-02-26;2010;2;9702310;63.16;756976;0.049175;0.042244;120
BA;2010-03-31;2010;3;9702310;72.61;756976;0.149620;0.149620;120
BA;2010-04-30;2010;4;9702310;72.43;759037;-0.002479;-0.002479;120
BA;2010-05-28;2010;5;9702310;64.18;759037;-0.108104;-0.113903;120
BA;2010-06-30;2010;6;9702310;62.75;759037;-0.022281;-0.022281;120
BA;2010-07-30;2010;7;9702310;68.14;731681;0.085896;0.085896;120
BA;2010-08-31;2010;8;9702310;61.13;731681;-0.096713;-0.102876;120
BA;2010-09-30;2010;9;9702310;66.54;731681;0.088500;0.088500;120
BA;2010-10-29;2010;10;9702310;70.64;733580;0.061617;0.061617;120
BA;2010-11-30;2010;11;9702310;63.77;733580;-0.091308;-0.097254;120
BA;2010-12-31;2010;12;9702310;65.26;733580;0.023365;0.023365;120
BA;2011-01-31;2011;1;9702310;69.48;733580;0.064664;0.064664;120
BA;2011-02-28;2011;2;9702310;72.01;736296;0.042458;0.036413;120
BA;2011-03-31;2011;3;9702310;73.93;737072;0.026663;0.026663;120
BA;2011-04-29;2011;4;9702310;79.78;738275;0.079129;0.079129;120
BA;2011-05-31;2011;5;9702310;78.03;738275;-0.016671;-0.021935;120
BA;2011-06-30;2011;6;9702310;73.93;738275;-0.052544;-0.052544;120
BA;2011-07-29;2011;7;9702310;70.47;741092;-0.046801;-0.046801;120
BA;2011-08-31;2011;8;9702310;66.86;741092;-0.045267;-0.051227;120
BA;2011-09-30;2011;9;9702310;60.51;741092;-0.094975;-0.094975;120
BA;2011-10-31;2011;10;9702310;65.79;743234;0.087258;0.087258;120
BA;2011-11-30;2011;11;9702310;68.69;743234;0.050464;0.044080;120
BA;2011-12-30;2011;12;9702310;73.35;743234;0.067841;0.067841;120
BA;2012-01-31;2012;1;9702310;74.18;743234;0.011316;0.011316;120
BA;2012-02-29;2012;2;9702310;74.95;745721;0.016312;0.010380;120
BA;2012-03-30;2012;3;9702310;74.37;747834;-0.007738;-0.007738;120
BA;2012-04-30;2012;4;9702310;76.8;749049;0.032674;0.032674;120
BA;2012-05-31;2012;5;9702310;69.61;749049;-0.087891;-0.093620;120
BA;2012-06-29;2012;6;9702310;74.3;749049;0.067375;0.067375;120
BA;2012-07-31;2012;7;9702310;73.91;751798;-0.005249;-0.005249;120
BA;2012-08-31;2012;8;9702310;71.4;751798;-0.028007;-0.033960;120
BA;2012-09-28;2012;9;9702310;69.595;751798;-0.025280;-0.025280;120
BA;2012-10-31;2012;10;9702310;70.44;754077;0.012142;0.012142;120
BA;2012-11-30;2012;11;9702310;74.28;754077;0.060761;0.054514;120
BA;2012-12-31;2012;12;9702310;75.36;754077;0.014540;0.014540;120
BA;2013-01-31;2013;1;9702310;73.87;754077;-0.019772;-0.019772;120
BA;2013-02-28;2013;2;9702310;76.9;756166;0.047584;0.041018;120
BA;2013-03-28;2013;3;9702310;85.85;757310;0.116385;0.116385;120
BA;2013-04-30;2013;4;9702310;91.41;758681;0.064764;0.064764;120
BA;2013-05-31;2013;5;9702310;99.02;758681;0.088557;0.083251;120
BA;2013-06-28;2013;6;9702310;102.44;758681;0.034539;0.034539;120
BA;2013-07-31;2013;7;9702310;105.1;754444;0.025966;0.025966;120
BA;2013-08-30;2013;8;9702310;103.92;754444;-0.006613;-0.011227;120
BA;2013-09-30;2013;9;9702310;117.5;754444;0.130677;0.130677;120
